,Date,AQI
0,2021-03-01,43
1,2021-03-02,56
2,2021-03-03,45
3,2021-03-04,58
4,2021-03-05,97
5,2021-03-06,99
6,2021-03-07,63
7,2021-03-08,40
8,2021-03-09,51
9,2021-03-10,44
10,2021-03-11,60
11,2021-03-12,53
12,2021-03-13,68
13,2021-03-14,64
14,2021-03-15,67
15,2021-03-16,67
16,2021-03-17,38
17,2021-03-18,40
18,2021-03-19,38
19,2021-03-20,61
20,2021-03-21,36
21,2021-03-22,73
22,2021-03-23,82
23,2021-03-24,76
24,2021-03-25,106
25,2021-03-26,90
26,2021-03-27,74
27,2021-03-28,70
28,2021-03-29,89
29,2021-03-30,84
30,2021-03-31,37
31,2021-04-01,38
32,2021-04-02,38
33,2021-04-03,44
34,2021-04-04,43
35,2021-04-05,35
36,2021-04-06,48
37,2021-04-07,44
38,2021-04-08,48
39,2021-04-09,37
40,2021-04-10,41
41,2021-04-11,45
42,2021-04-12,58
43,2021-04-13,63
44,2021-04-14,54
45,2021-04-15,46
46,2021-04-16,40
47,2021-04-17,64
48,2021-04-18,59
49,2021-04-19,49
50,2021-04-20,48
51,2021-04-21,64
52,2021-04-22,60
53,2021-04-23,62
54,2021-04-24,41
55,2021-04-25,26
56,2021-04-26,29
57,2021-04-27,58
58,2021-04-28,75
59,2021-04-29,64
60,2021-04-30,69
61,2021-05-01,93
62,2021-05-02,63
63,2021-05-03,46
64,2021-05-04,80
65,2021-05-05,63
66,2021-05-06,52
67,2021-05-07,53
68,2021-05-08,77
69,2021-05-09,57
70,2021-05-10,52
71,2021-05-11,57
72,2021-05-12,58
73,2021-05-13,47
74,2021-05-14,38
75,2021-05-15,39
76,2021-05-16,38
77,2021-05-17,56
78,2021-05-18,55
79,2021-05-19,51
80,2021-05-20,98
81,2021-05-21,87
82,2021-05-22,66
83,2021-05-23,46
84,2021-05-24,42
85,2021-05-25,56
86,2021-05-26,43
87,2021-05-27,72
88,2021-05-28,70
89,2021-05-29,62
90,2021-05-30,50
91,2021-05-31,86
92,2021-06-01,88
93,2021-06-02,107
94,2021-06-03,56
95,2021-06-04,54
96,2021-06-05,76
97,2021-06-06,70
98,2021-06-07,108
99,2021-06-08,55
100,2021-06-09,38
101,2021-06-10,52
102,2021-06-11,58
103,2021-06-12,43
104,2021-06-13,42
105,2021-06-14,40
106,2021-06-15,57
107,2021-06-16,49
108,2021-06-17,40
109,2021-06-18,28
110,2021-06-19,38
111,2021-06-20,50
112,2021-06-21,60
113,2021-06-22,76
114,2021-06-23,57
115,2021-06-24,76
116,2021-06-25,60
117,2021-06-26,38
118,2021-06-27,32
119,2021-06-28,52
120,2021-06-29,32
121,2021-06-30,37
122,2021-07-01,29
123,2021-07-02,32
124,2021-07-03,40
125,2021-07-04,41
126,2021-07-05,42
127,2021-07-06,72
128,2021-07-07,63
129,2021-07-08,31
130,2021-07-09,34
131,2021-07-10,37
132,2021-07-11,39
133,2021-07-12,34
134,2021-07-13,43
135,2021-07-14,49
136,2021-07-15,45
137,2021-07-16,29
138,2021-07-17,38
139,2021-07-18,49
140,2021-07-19,42
141,2021-07-20,49
142,2021-07-21,44
143,2021-07-22,55
144,2021-07-23,46
145,2021-07-24,50
146,2021-07-25,49
147,2021-07-26,58
148,2021-07-27,43
149,2021-07-28,56
150,2021-07-29,67
151,2021-07-30,83
152,2021-07-31,85
153,2021-08-01,72
154,2021-08-02,86
155,2021-08-03,76
156,2021-08-04,64
157,2021-08-05,72
158,2021-08-06,66
159,2021-08-07,71
160,2021-08-08,57
161,2021-08-09,36
162,2021-08-10,41
163,2021-08-11,40
164,2021-08-12,38
165,2021-08-13,28
166,2021-08-14,26
167,2021-08-15,71
168,2021-08-16,34
169,2021-08-17,30
170,2021-08-18,42
171,2021-08-19,46
172,2021-08-20,63
173,2021-08-21,65
174,2021-08-22,47
175,2021-08-23,35
176,2021-08-24,52
177,2021-08-25,45
178,2021-08-26,27
179,2021-08-27,25
180,2021-08-28,24
181,2021-08-29,26
182,2021-08-30,41
183,2021-08-31,45
184,2021-09-01,47
185,2021-09-02,59
186,2021-09-03,46
187,2021-09-04,43
188,2021-09-05,40
189,2021-09-06,27
190,2021-09-07,42
191,2021-09-08,40
192,2021-09-09,48
193,2021-09-10,70
194,2021-09-11,71
195,2021-09-12,33
196,2021-09-13,57
197,2021-09-14,57
198,2021-09-15,52
199,2021-09-16,44
200,2021-09-17,34
201,2021-09-18,40
202,2021-09-19,29
203,2021-09-20,53
204,2021-09-21,54
205,2021-09-22,50
206,2021-09-23,47
207,2021-09-24,42
208,2021-09-25,42
209,2021-09-26,46
210,2021-09-27,40
211,2021-09-28,41
212,2021-09-29,50
213,2021-09-30,60
214,2021-10-01,66
215,2021-10-02,65
216,2021-10-03,48
217,2021-10-04,44
218,2021-10-05,52
219,2021-10-06,59
220,2021-10-07,39
221,2021-10-08,39
222,2021-10-09,49
223,2021-10-10,30
224,2021-10-11,27
225,2021-10-12,41
226,2021-10-13,54
227,2021-10-14,39
228,2021-10-15,24
229,2021-10-16,21
230,2021-10-17,24
231,2021-10-18,33
232,2021-10-19,53
233,2021-10-20,23
234,2021-10-21,39
235,2021-10-22,38
236,2021-10-23,51
237,2021-10-24,78
238,2021-10-25,95
239,2021-10-26,71
240,2021-10-27,76
241,2021-10-28,69
242,2021-10-29,63
243,2021-10-30,70
244,2021-10-31,59
245,2021-11-01,38
246,2021-11-02,44
247,2021-11-03,48
248,2021-11-04,43
249,2021-11-05,72
250,2021-11-06,89
251,2021-11-07,47
252,2021-11-08,64
253,2021-11-09,86
254,2021-11-10,103
255,2021-11-11,132
256,2021-11-12,138
257,2021-11-13,116
258,2021-11-14,149
259,2021-11-15,178
260,2021-11-16,180
261,2021-11-17,115
262,2021-11-18,108
263,2021-11-19,92
264,2021-11-20,101
265,2021-11-21,52
266,2021-11-22,57
267,2021-11-23,85
268,2021-11-24,105
269,2021-11-25,101
270,2021-11-26,102
271,2021-11-27,215
272,2021-11-28,221
273,2021-11-29,150
274,2021-11-30,57
275,2021-12-01,80
276,2021-12-02,143
277,2021-12-03,145
278,2021-12-04,219
279,2021-12-06,152
280,2021-12-07,150
281,2021-12-08,100
282,2021-12-09,194
283,2021-12-10,166
284,2021-12-11,90
285,2021-12-12,49
286,2021-12-13,52
287,2021-12-14,59
288,2021-12-15,83
289,2021-12-16,96
290,2021-12-17,54
291,2021-12-18,59
292,2021-12-19,66
293,2021-12-20,90
294,2021-12-21,102
295,2021-12-22,106
296,2021-12-23,136
297,2021-12-24,271
298,2021-12-25,140
299,2021-12-26,37
300,2021-12-27,43
301,2021-12-28,68
302,2021-12-29,63
303,2021-12-30,71
304,2021-12-31,98
305,2022-01-01,112
306,2022-01-02,106
307,2022-01-03,144
308,2022-01-04,189
