,Date,AQI
0,2021-03-01,52
1,2021-03-02,73
2,2021-03-03,71
3,2021-03-04,111
4,2021-03-05,137
5,2021-03-06,68
6,2021-03-07,58
7,2021-03-08,74
8,2021-03-09,99
9,2021-03-10,101
10,2021-03-11,122
11,2021-03-12,218
12,2021-03-13,212
13,2021-03-14,229
14,2021-03-15,162
15,2021-03-16,185
16,2021-03-17,122
17,2021-03-18,53
18,2021-03-19,47
19,2021-03-20,209
20,2021-03-21,146
21,2021-03-22,114
22,2021-03-23,105
23,2021-03-24,99
24,2021-03-25,190
25,2021-03-26,69
26,2021-03-27,87
27,2021-03-28,141
28,2021-03-29,166
29,2021-03-30,173
30,2021-03-31,54
31,2021-04-01,31
32,2021-04-02,50
33,2021-04-03,42
34,2021-04-04,35
35,2021-04-05,54
36,2021-04-06,93
37,2021-04-07,74
38,2021-04-08,54
39,2021-04-09,79
40,2021-04-10,55
41,2021-04-11,52
42,2021-04-12,82
43,2021-04-13,100
44,2021-04-14,37
45,2021-04-15,61
46,2021-04-16,56
47,2021-04-17,55
48,2021-04-18,60
49,2021-04-19,95
50,2021-04-20,55
51,2021-04-21,56
52,2021-04-22,173
53,2021-04-23,135
54,2021-04-24,30
55,2021-04-25,34
56,2021-04-26,42
57,2021-04-27,58
58,2021-04-28,66
59,2021-04-29,68
60,2021-04-30,122
61,2021-05-01,121
62,2021-05-02,125
63,2021-05-03,66
64,2021-05-04,101
65,2021-05-05,98
66,2021-05-06,94
67,2021-05-07,89
68,2021-05-08,85
69,2021-05-09,98
70,2021-05-10,142
71,2021-05-11,48
72,2021-05-12,71
73,2021-05-13,117
74,2021-05-14,118
75,2021-05-15,44
76,2021-05-16,35
77,2021-05-17,44
78,2021-05-18,49
79,2021-05-19,120
80,2021-05-20,119
81,2021-05-21,82
82,2021-05-22,74
83,2021-05-23,43
84,2021-05-24,64
85,2021-05-25,63
86,2021-05-26,57
87,2021-05-27,118
88,2021-05-28,111
89,2021-05-29,78
90,2021-05-30,74
91,2021-05-31,98
92,2021-06-01,64
93,2021-06-02,77
94,2021-06-03,41
95,2021-06-04,57
96,2021-06-05,70
97,2021-06-06,116
98,2021-06-07,187
99,2021-06-08,48
100,2021-06-09,55
101,2021-06-10,64
102,2021-06-11,60
103,2021-06-12,128
104,2021-06-13,86
105,2021-06-14,69
106,2021-06-15,43
107,2021-06-16,32
108,2021-06-17,30
109,2021-06-18,36
110,2021-06-19,78
111,2021-06-20,87
112,2021-06-21,79
113,2021-06-22,100
114,2021-06-23,93
115,2021-06-24,78
116,2021-06-25,36
117,2021-06-26,56
118,2021-06-27,72
119,2021-06-28,56
120,2021-06-29,35
121,2021-06-30,46
122,2021-07-01,61
123,2021-07-02,47
124,2021-07-03,52
125,2021-07-04,57
126,2021-07-05,71
127,2021-07-06,100
128,2021-07-07,79
129,2021-07-08,48
130,2021-07-09,36
131,2021-07-10,34
132,2021-07-11,37
133,2021-07-12,52
134,2021-07-13,50
135,2021-07-14,69
136,2021-07-15,32
137,2021-07-16,22
138,2021-07-17,40
139,2021-07-18,43
140,2021-07-19,47
141,2021-07-20,41
142,2021-07-21,53
143,2021-07-22,45
144,2021-07-23,49
145,2021-07-24,42
146,2021-07-25,46
147,2021-07-26,38
148,2021-07-27,47
149,2021-07-28,64
150,2021-07-29,59
151,2021-07-30,66
152,2021-07-31,66
153,2021-08-01,55
154,2021-08-02,76
155,2021-08-03,77
156,2021-08-04,61
157,2021-08-05,43
158,2021-08-06,43
159,2021-08-07,38
160,2021-08-08,31
161,2021-08-09,52
162,2021-08-10,53
163,2021-08-11,44
164,2021-08-12,34
165,2021-08-13,37
166,2021-08-14,41
167,2021-08-15,36
168,2021-08-16,28
169,2021-08-17,28
170,2021-08-18,29
171,2021-08-19,39
172,2021-08-20,38
173,2021-08-21,58
174,2021-08-22,37
175,2021-08-23,40
176,2021-08-24,52
177,2021-08-25,58
178,2021-08-26,27
179,2021-08-27,31
180,2021-08-28,31
181,2021-08-29,34
182,2021-08-30,36
183,2021-08-31,43
184,2021-09-01,38
185,2021-09-02,36
186,2021-09-03,33
187,2021-09-04,28
188,2021-09-05,28
189,2021-09-06,31
190,2021-09-07,42
191,2021-09-08,47
192,2021-09-09,55
193,2021-09-10,50
194,2021-09-11,60
195,2021-09-12,69
196,2021-09-13,36
197,2021-09-14,30
198,2021-09-15,32
199,2021-09-16,25
200,2021-09-17,34
201,2021-09-18,23
202,2021-09-19,31
203,2021-09-20,46
204,2021-09-21,51
205,2021-09-22,71
206,2021-09-23,47
207,2021-09-24,38
208,2021-09-25,38
209,2021-09-26,26
210,2021-09-27,26
211,2021-09-28,35
212,2021-09-29,41
213,2021-09-30,55
214,2021-10-01,67
215,2021-10-02,66
216,2021-10-03,74
217,2021-10-04,26
218,2021-10-05,23
219,2021-10-06,20
220,2021-10-07,33
221,2021-10-08,32
222,2021-10-09,28
223,2021-10-10,14
224,2021-10-11,28
225,2021-10-12,37
226,2021-10-13,61
227,2021-10-14,38
228,2021-10-15,54
229,2021-10-16,41
230,2021-10-17,26
231,2021-10-18,35
232,2021-10-19,60
233,2021-10-20,23
234,2021-10-21,32
235,2021-10-22,32
236,2021-10-23,56
237,2021-10-24,68
238,2021-10-25,109
239,2021-10-26,52
240,2021-10-27,34
241,2021-10-28,49
242,2021-10-29,64
243,2021-10-30,68
244,2021-10-31,53
245,2021-11-01,61
246,2021-11-02,45
247,2021-11-03,62
248,2021-11-04,66
249,2021-11-05,83
250,2021-11-06,55
251,2021-11-07,55
252,2021-11-08,71
253,2021-11-09,73
254,2021-11-10,81
255,2021-11-11,93
256,2021-11-12,73
257,2021-11-13,242
258,2021-11-14,284
259,2021-11-15,300
260,2021-11-16,270
261,2021-11-17,45
262,2021-11-18,69
263,2021-11-19,97
264,2021-11-20,133
265,2021-11-21,68
266,2021-11-22,59
267,2021-11-23,64
268,2021-11-24,56
269,2021-11-25,86
270,2021-11-26,97
271,2021-11-27,75
272,2021-11-28,90
273,2021-11-29,63
274,2021-11-30,73
275,2021-12-01,90
276,2021-12-02,109
277,2021-12-03,175
278,2021-12-04,250
279,2021-12-05,248
280,2021-12-06,319
281,2021-12-07,141
282,2021-12-08,55
283,2021-12-09,89
284,2021-12-10,91
285,2021-12-11,59
286,2021-12-12,59
287,2021-12-13,83
288,2021-12-14,80
289,2021-12-15,107
290,2021-12-16,78
291,2021-12-17,56
292,2021-12-18,60
293,2021-12-19,62
294,2021-12-20,108
295,2021-12-21,181
296,2021-12-22,154
297,2021-12-23,243
298,2021-12-24,174
299,2021-12-25,125
300,2021-12-26,37
301,2021-12-27,54
302,2021-12-28,56
303,2021-12-29,93
