time,aqi,pm2_5,pm10,co,no2,o3,so2,complexindex,rank,primary_pollutant,temp,humi,windlevel,winddirection,weather
2020-01-01,62.0,35,56,0.8,49,20,7,3.46667,94,二氧化氮,-5.500,36.583,1.375,,
2020-01-02,80.0,51,80,1.2,64,16,7,4.71667,109,二氧化氮,-3.292,41.875,0.875,,
2020-01-03,82.0,50,72,1.2,65,26,8,4.67798,148,二氧化氮,-1.333,46.750,0.750,,
2020-01-04,74.0,43,66,1.1,59,44,7,4.31310,168,二氧化氮,1.208,44.542,1.083,,
2020-01-05,83.0,61,73,1.3,66,13,6,4.94196,140,"二氧化氮,细颗粒物(PM2.5)",-0.917,70.958,1.375,,
2020-01-06,75.0,55,32,1.0,47,30,3,3.69107,196,细颗粒物(PM2.5),0.167,86.875,1.208,,
2020-01-07,30.0,12,19,0.4,22,59,4,1.69970,37,,0.750,37.958,2.250,,
2020-01-08,40.0,17,25,0.5,32,64,3,2.21786,4,,0.458,39.792,1.792,,
2020-01-09,63.0,35,39,0.8,50,39,6,3.35089,58,二氧化氮,-1.208,52.583,1.250,,
2020-01-10,43.0,26,33,0.6,34,63,6,2.70804,216,,0.333,46.833,1.500,,
2020-01-11,32.0,11,20,0.4,25,56,3,1.72500,28,,-1.167,34.208,2.000,,
2020-01-12,42.0,19,26,0.5,33,50,7,2.29345,41,,-1.250,40.400,1.550,,
2020-01-13,31.0,11,20,0.4,18,62,4,1.60417,7,,-2.083,28.417,2.208,,
2020-01-14,39.0,17,25,0.4,31,53,4,2.11577,6,,-3.208,34.667,1.750,,
2020-01-15,72.0,49,58,0.9,57,25,7,4.15149,57,二氧化氮,-3.708,48.833,1.333,,
2020-01-16,60.0,41,49,0.9,48,54,7,3.75060,247,二氧化氮,-2.167,45.875,1.333,,
2020-01-17,97.0,72,79,1.5,66,26,12,5.57321,175,细颗粒物(PM2.5),-2.790,59.947,1.105,,
2020-01-18,207.0,157,154,2.1,63,27,4,9.02113,284,细颗粒物(PM2.5),-3.833,79.583,1.792,,
2020-01-19,60.0,28,69,0.5,24,60,2,2.91905,77,颗粒物(PM10),0.875,28.875,1.708,,
2020-01-20,31.0,10,27,0.3,18,62,2,1.61726,31,,1.083,24.333,1.625,,
2020-01-21,60.0,43,56,0.9,43,44,7,3.72024,51,细颗粒物(PM2.5),-1.292,45.208,1.125,,
2020-01-22,89.0,66,70,1.1,52,42,8,4.85655,,细颗粒物(PM2.5),-0.875,52.375,0.958,,
2020-01-23,77.0,56,63,0.9,36,71,6,4.16875,194,细颗粒物(PM2.5),0.375,51.000,1.250,,
2020-01-24,102.0,76,77,0.7,21,73,6,4.52768,265,细颗粒物(PM2.5),0.000,48.500,1.750,,
2020-01-25,193.0,145,161,1.0,33,69,10,8.11577,246,细颗粒物(PM2.5),-1.708,61.917,1.083,,
2020-01-26,202.0,152,147,1.7,38,75,11,8.46994,287,细颗粒物(PM2.5),-2.208,67.042,1.167,,
2020-01-27,208.0,158,137,1.8,37,81,10,8.51935,315,细颗粒物(PM2.5),0.042,61.375,0.792,,
2020-01-28,221.0,171,147,2.1,40,109,13,9.40863,297,细颗粒物(PM2.5),0.042,61.000,0.833,,
2020-01-29,94.0,70,51,1.0,27,81,7,4.27649,319,细颗粒物(PM2.5),1.667,57.250,0.917,,
2020-01-30,64.0,46,48,0.8,27,81,5,3.46458,172,细颗粒物(PM2.5),-0.792,53.667,1.250,,
2020-01-31,62.0,44,47,0.8,27,80,4,3.37024,160,细颗粒物(PM2.5),0.917,46.375,1.375,,
2020-02-01,36.0,9,16,0.3,10,72,2,1.29405,9,,1.792,25.708,2.000,,
2020-02-02,45.0,31,32,0.4,11,68,2,2.17619,128,,0.208,62.333,2.083,,
2020-02-03,34.0,18,28,0.4,14,67,2,1.81637,12,,-1.792,33.833,2.167,,
2020-02-04,34.0,10,18,0.3,12,67,2,1.36994,145,,-1.909,33.227,1.818,,
2020-02-05,38.0,26,33,0.6,18,48,3,2.16429,18,,-5.458,76.167,1.833,,
2020-02-06,62.0,44,38,1.0,25,39,4,2.98542,48,细颗粒物(PM2.5),-5.708,81.500,1.417,,
2020-02-07,97.0,72,52,1.1,35,50,4,4.32917,272,细颗粒物(PM2.5),-3.208,73.833,0.958,,
2020-02-08,82.0,60,50,0.8,30,70,4,3.88274,288,细颗粒物(PM2.5),-1.000,59.208,1.292,,
2020-02-09,160.0,122,109,1.4,43,60,4,6.90952,275,细颗粒物(PM2.5),-0.292,68.500,1.333,,
2020-02-10,163.0,124,103,1.4,50,77,4,7.16220,316,细颗粒物(PM2.5),2.292,66.333,0.917,,
2020-02-11,232.0,182,141,2.3,56,97,8,9.92887,321,细颗粒物(PM2.5),2.625,72.792,1.250,,
2020-02-12,257.0,207,145,2.3,48,113,5,10.55030,332,细颗粒物(PM2.5),3.542,74.458,0.792,,
2020-02-13,247.0,197,142,2.1,47,57,3,9.76339,331,细颗粒物(PM2.5),3.792,87.458,1.583,,
2020-02-14,69.0,50,39,0.9,17,59,2,3.03780,327,细颗粒物(PM2.5),1.417,82.333,2.333,,
2020-02-15,35.0,6,11,0.2,5,69,2,0.96815,45,,-2.250,31.875,3.500,,
2020-02-16,37.0,3,8,0.2,5,73,2,0.86458,90,,-0.375,28.625,3.042,,
2020-02-17,36.0,7,14,0.3,13,72,2,1.28333,51,,0.913,38.348,1.870,,
2020-02-18,42.0,17,23,0.5,33,63,3,2.20804,44,,2.292,55.208,1.042,,
2020-02-19,79.0,58,51,1.2,38,68,10,4.22738,89,细颗粒物(PM2.5),2.458,64.208,1.667,,
2020-02-20,143.0,109,76,1.4,30,66,7,5.82917,308,细颗粒物(PM2.5),1.375,76.917,1.417,,
2020-02-21,100.0,75,95,0.8,21,75,3,4.74375,310,细颗粒物(PM2.5),3.583,57.917,1.667,,
2020-02-22,40.0,8,16,0.2,11,79,3,1.32589,30,,4.583,23.042,2.292,,
2020-02-23,58.0,41,51,0.6,38,58,5,3.44583,11,细颗粒物(PM2.5),3.208,42.458,1.208,,
2020-02-24,83.0,61,86,1.0,38,52,8,4.62976,228,细颗粒物(PM2.5),4.500,49.667,1.667,,
2020-02-25,70.0,51,75,0.9,26,68,10,3.99524,135,细颗粒物(PM2.5),5.875,41.000,1.625,,
2020-02-26,53.0,37,47,0.6,22,79,5,3.00565,79,细颗粒物(PM2.5),4.500,42.000,1.875,,
2020-02-27,40.0,28,32,0.5,24,56,4,2.39881,155,—,2.458,42.208,2.083,,
2020-02-28,88.0,65,63,0.7,29,74,3,4.16964,190,细颗粒物(PM2.5),2.875,58.042,1.750,,
2020-02-29,114.0,86,57,1.2,32,26,2,4.56726,327,细颗粒物(PM2.5),2.208,91.542,1.542,,
2020-03-01,38.0,21,21,0.8,19,76,2,2.08333,256,,4.458,55.125,2.000,,
2020-03-02,36.0,25,27,0.5,28,66,3,2.38750,38,,2.750,52.667,1.625,,
2020-03-03,39.0,14,21,0.3,9,78,2,1.52083,270,,3.208,37.250,2.792,,
2020-03-04,38.0,11,16,0.2,10,76,2,1.35119,48,,1.708,26.000,2.375,,
2020-03-05,54.0,38,48,0.5,28,82,4,3.17560,107,细颗粒物(PM2.5),3.167,35.375,2.292,,
2020-03-06,113.0,85,79,0.8,40,67,4,5.24256,271,细颗粒物(PM2.5),5.000,60.667,1.750,,
2020-03-07,87.0,64,45,0.7,20,89,3,3.75268,313,细颗粒物(PM2.5),7.833,57.000,1.833,,
2020-03-08,128.0,97,61,1.0,29,44,3,4.94286,323,细颗粒物(PM2.5),4.333,89.083,1.458,,
2020-03-09,70.0,51,32,0.7,24,69,2,3.15387,281,细颗粒物(PM2.5),6.875,77.167,1.583,,
2020-03-10,39.0,10,30,0.3,15,77,2,1.67887,118,,5.826,36.739,2.044,,
2020-03-11,55.0,29,51,0.5,44,60,4,3.22381,7,二氧化氮,6.375,39.958,1.125,,
2020-03-12,41.0,18,37,0.4,22,81,3,2.24911,197,,9.042,30.333,2.250,,
2020-03-13,40.0,11,23,0.3,14,79,3,1.61161,27,,6.208,24.333,1.917,,
2020-03-14,43.0,8,37,0.3,12,86,2,1.70298,172,,9.458,23.667,2.458,,
2020-03-15,45.0,7,33,0.2,11,90,2,1.59226,52,,11.292,28.458,2.208,,
2020-03-16,61.0,26,71,0.4,23,77,3,2.96339,168,颗粒物(PM10),5.333,48.208,1.750,,
2020-03-17,56.0,30,61,0.5,33,97,3,3.33482,186,颗粒物(PM10),12.208,38.500,1.625,,
2020-03-18,89.0,36,127,0.4,34,85,4,4.39077,208,颗粒物(PM10),13.667,30.458,2.167,,
2020-03-19,46.0,8,46,0.2,10,89,2,1.77530,72,,12.000,13.333,2.625,,
2020-03-20,60.0,29,70,0.4,37,77,4,3.40149,134,颗粒物(PM10),13.792,28.667,1.542,,
2020-03-21,72.0,27,94,0.5,22,93,8,3.50387,50,颗粒物(PM10),13.167,25.250,2.042,,
2020-03-22,62.0,30,74,0.4,26,113,4,3.43720,212,颗粒物(PM10),12.417,32.375,2.167,,
2020-03-23,53.0,28,55,0.5,31,91,4,3.12113,216,颗粒物(PM10),13.042,35.333,1.542,,
2020-03-24,70.0,51,68,0.9,38,98,12,4.41607,58,细颗粒物(PM2.5),11.958,36.958,1.458,,
2020-03-25,153.0,117,111,1.0,53,131,11,7.50565,320,细颗粒物(PM2.5),15.542,49.833,1.792,,
2020-03-26,39.0,8,24,0.2,9,77,3,1.37768,272,,9.042,41.500,3.125,,
2020-03-27,40.0,5,21,0.2,9,79,2,1.24494,96,,8.417,15.083,2.500,,
2020-03-28,39.0,10,28,0.2,17,77,2,1.67530,59,,7.167,23.917,1.792,,
2020-03-29,63.0,45,72,0.5,38,97,7,4.11220,214,细颗粒物(PM2.5),9.917,35.292,1.958,,
2020-03-30,92.0,68,87,0.7,37,103,7,5.04613,317,细颗粒物(PM2.5),11.708,48.208,2.208,,
2020-03-31,87.0,64,75,0.5,28,108,4,4.46667,284,细颗粒物(PM2.5),13.044,53.826,2.130,,
2020-04-01,42.0,9,21,0.2,11,84,2,1.44048,61,,12.083,19.250,2.250,,
2020-04-02,42.0,16,34,0.3,21,84,3,2.11786,142,,12.000,34.458,1.500,,
2020-04-03,47.0,14,36,0.3,23,93,2,2.17887,159,,15.250,28.000,2.000,,
2020-04-04,102.0,23,154,0.3,12,94,3,3.86964,147,颗粒物(PM10),14.083,24.708,2.500,,
2020-04-05,69.0,30,88,0.4,30,101,5,3.67887,237,颗粒物(PM10),11.458,32.250,1.667,,
2020-04-06,86.0,62,122,0.6,48,124,7,5.75595,209,颗粒物(PM10),14.750,42.500,1.667,,
2020-04-07,77.0,45,103,0.6,35,90,5,4.42798,316,颗粒物(PM10),13.833,34.167,2.042,,
2020-04-08,55.0,21,60,0.5,30,82,5,2.92798,181,颗粒物(PM10),10.333,33.042,1.750,,
2020-04-09,49.0,34,47,0.5,18,97,3,2.87411,197,,9.333,56.500,1.875,,
2020-04-10,70.0,39,50,0.5,25,123,3,3.39732,134,臭氧8小时,10.958,46.542,1.417,,
