,日期,成交价,成交量,成交额,地点
0,2013-12-19,29.420000076293945,1110.0,32660.0,上海
1,2013-12-20,30.0,950.0,28060.0,上海
2,2013-12-21,30.0,0.0,0.0,上海
3,2013-12-22,30.0,0.0,0.0,上海
4,2013-12-23,29.899999618530273,200.0,5960.0,上海
5,2013-12-24,29.799999237060547,100.0,2980.0,上海
6,2013-12-25,29.799999237060547,100.0,2980.0,上海
7,2013-12-26,29.799999237060547,200.0,5960.0,上海
8,2013-12-27,29.700000762939453,200.0,5940.0,上海
9,2013-12-28,29.700000762939453,0.0,0.0,上海
10,2013-12-29,29.700000762939453,0.0,0.0,上海
11,2013-12-30,29.700000762939453,200.0,5940.0,上海
12,2013-12-31,29.799999237060547,200.0,5960.0,上海
13,2014-01-01,29.700000762939453,0.0,0.0,上海
14,2014-01-02,29.700000762939453,200.0,5940.0,上海
15,2014-01-03,29.799999237060547,100.0,2980.0,上海
16,2014-01-04,29.799999237060547,0.0,0.0,上海
17,2014-01-05,29.799999237060547,0.0,0.0,上海
18,2014-01-06,29.700000762939453,200.0,5940.0,上海
19,2014-01-07,29.600000381469727,300.0,8914.0,上海
20,2014-01-08,29.65999984741211,220.0,6526.0,上海
21,2014-01-09,29.700000762939453,150.0,4455.0,上海
22,2014-01-10,29.799999237060547,300.0,8940.0,上海
23,2014-01-11,29.799999237060547,0.0,0.0,上海
24,2014-01-12,29.799999237060547,0.0,0.0,上海
25,2014-01-13,29.719999313354492,300.0,8916.0,上海
26,2014-01-14,29.829999923706055,280.0,8354.0,上海
27,2014-01-15,29.899999618530273,200.0,5980.0,上海
28,2014-01-16,29.899999618530273,220.0,6578.0,上海
29,2014-01-17,31.600000381469727,1300.0,41080.0,上海
30,2014-01-18,31.600000381469727,0.0,0.0,上海
31,2014-01-19,31.600000381469727,0.0,0.0,上海
32,2014-01-20,31.5,200.0,6300.0,上海
33,2014-01-21,32.5,180.0,5850.0,上海
34,2014-01-22,32.5,200.0,6500.0,上海
35,2014-01-23,32.0,200.0,6400.0,上海
36,2014-01-24,33.0,200.0,6600.0,上海
37,2014-01-25,33.0,0.0,0.0,上海
38,2014-01-26,33.0,0.0,0.0,上海
39,2014-01-27,33.0,200.0,6600.0,上海
40,2014-01-28,33.0,200.0,6600.0,上海
41,2014-01-29,33.0,500.0,16500.0,上海
42,2014-01-30,33.0,0.0,0.0,上海
43,2014-01-31,33.0,0.0,0.0,上海
44,2014-02-01,33.0,0.0,0.0,上海
45,2014-02-02,33.0,0.0,0.0,上海
46,2014-02-03,33.0,0.0,0.0,上海
47,2014-02-04,33.0,0.0,0.0,上海
48,2014-02-05,33.0,0.0,0.0,上海
49,2014-02-06,33.0,0.0,0.0,上海
50,2014-02-07,33.5,500.0,17050.0,上海
51,2014-02-08,33.5,0.0,0.0,上海
52,2014-02-09,33.5,0.0,0.0,上海
53,2014-02-10,34.5,500.0,17250.0,上海
54,2014-02-11,34.5,500.0,17250.0,上海
55,2014-02-12,35.0,500.0,17500.0,上海
56,2014-02-13,35.099998474121094,20600.0,720850.0,上海
57,2014-02-14,35.5,800.0,28400.0,上海
58,2014-02-15,35.5,0.0,0.0,上海
59,2014-02-16,35.5,0.0,0.0,上海
60,2014-02-17,37.0,3500.0,126250.0,上海
61,2014-02-18,37.599998474121094,5000.0,188000.0,上海
62,2014-02-19,40.20000076293945,8980.0,361210.0,上海
63,2014-02-20,42.5,6000.0,255250.0,上海
64,2014-02-21,45.400001525878906,5012.0,225102.0,上海
65,2014-02-22,45.400001525878906,0.0,0.0,上海
66,2014-02-23,45.400001525878906,0.0,0.0,上海
67,2014-02-24,40.29999923706055,1500.0,60500.0,上海
68,2014-02-25,37.5,1610.0,60400.0,上海
69,2014-02-26,40.0,5000.0,200000.0,上海
70,2014-02-27,40.0,0.0,0.0,上海
71,2014-02-28,40.79999923706055,1000.0,40800.0,上海
72,2014-03-01,40.79999923706055,0.0,0.0,上海
73,2014-03-02,40.79999923706055,0.0,0.0,上海
74,2014-03-03,37.099998474121094,27300.0,1012700.0,上海
75,2014-03-04,37.099998474121094,0.0,0.0,上海
76,2014-03-05,40.08000183105469,7000.0,280600.0,上海
77,2014-03-06,40.25,4000.0,161000.0,上海
78,2014-03-07,40.25,0.0,0.0,上海
79,2014-03-08,40.25,0.0,0.0,上海
80,2014-03-09,40.25,0.0,0.0,上海
81,2014-03-10,39.5,1000.0,39500.0,上海
82,2014-03-11,39.72999954223633,3010.0,119610.0,上海
83,2014-03-12,39.79999923706055,2000.0,79600.0,上海
84,2014-03-13,40.0,2000.0,80000.0,上海
85,2014-03-14,40.0,1000.0,40000.0,上海
86,2014-03-15,40.0,0.0,0.0,上海
87,2014-03-16,40.0,0.0,0.0,上海
88,2014-03-17,40.0,2898.0,115920.0,上海
89,2014-03-18,39.0,1000.0,39000.0,上海
