,日期,最新值,涨跌幅,近3月涨跌幅,近6月涨跌幅,近1年涨跌幅,近2年涨跌幅,近3年涨跌幅
0,2011-12-05,1003,,,,,,
1,2011-12-12,995,-0.79760718,,,,,
2,2011-12-19,987,-0.8040201,,,,,
3,2011-12-26,983,-0.40526849,,,,,
4,2012-01-02,984,0.1017294,,,,,
5,2012-01-09,983,-0.10162602,,,,,
6,2012-01-16,984,0.1017294,,,,,
7,2012-01-23,984,0.0,,,,,
8,2012-01-30,991,0.71138211,,,,,
9,2012-02-06,1000,0.90817356,,,,,
10,2012-02-13,1001,0.1,,,,,
11,2012-02-20,1007,0.5994006,,,,,
12,2012-02-27,1021,1.39026812,,,,,
13,2012-03-05,1022,0.09794319,1.89431705,,,,
14,2012-03-12,1021,-0.09784736,2.61306533,,,,
15,2012-03-19,1042,2.05680705,5.57244174,,,,
16,2012-03-26,1041,-0.09596929,5.90030519,,,,
17,2012-04-02,1039,-0.19212296,5.58943089,,,,
18,2012-04-09,1039,0.0,5.69684639,,,,
19,2012-04-16,1040,0.09624639,5.69105691,,,,
20,2012-04-23,1037,-0.28846154,5.38617886,,,,
21,2012-04-30,1031,-0.57859209,4.03632694,,,,
22,2012-05-07,1011,-1.93986421,1.1,,,,
23,2012-05-14,997,-1.38476756,-0.3996004,,,,
24,2012-05-21,987,-1.00300903,-1.98609732,,,,
25,2012-05-28,970,-1.72239108,-4.99510284,,,,
26,2012-06-04,947,-2.37113402,-7.24779628,,,,
27,2012-06-11,932,-1.58394931,-8.80626223,-7.07876371,,,
28,2012-06-18,929,-0.32188841,-9.01077375,-6.63316583,,,
29,2012-06-25,911,-1.93756728,-12.57197697,-7.70010132,,,
30,2012-07-02,908,-0.32930845,-12.60827719,-7.72357724,,,
31,2012-07-09,912,0.44052863,-12.22329163,-7.22278739,,,
32,2012-07-16,925,1.4254386,-11.05769231,-5.99593496,,,
33,2012-07-23,927,0.21621622,-10.6075217,-5.79268293,,,
34,2012-07-30,933,0.64724919,-9.50533463,-5.85267407,,,
35,2012-08-06,941,0.85744909,-8.72938894,-5.9,,,
36,2012-08-13,939,-0.21253985,-7.12166172,-6.19380619,,,
37,2012-08-20,926,-1.38445154,-7.12136409,-8.04369414,,,
38,2012-08-27,928,0.21598272,-5.97771023,-9.10871694,,,
39,2012-09-03,928,0.0,-4.32989691,-9.10871694,,,
40,2012-09-10,938,1.07758621,-0.95036959,-8.21917808,,,
41,2012-09-17,936,-0.21321962,0.42918455,-8.3251714,,,
42,2012-09-24,931,-0.53418803,0.21528525,-10.65259117,,,
43,2012-10-01,931,0.0,2.19538968,-10.56676273,,,
44,2012-10-08,933,0.21482277,2.75330396,-10.20211742,,,
45,2012-10-15,933,0.0,2.30263158,-10.20211742,,,
46,2012-10-22,932,-0.10718114,0.75675676,-10.38461538,,,
47,2012-10-29,932,0.0,0.53937433,-10.12536162,,,
48,2012-11-05,936,0.42918455,0.32154341,-9.214355,,,
49,2012-11-12,936,0.0,-0.53134963,-7.41839763,,,
50,2012-11-19,935,-0.10683761,-0.42598509,-6.21865597,,,
51,2012-11-26,934,-0.10695187,0.86393089,-5.3698075,,,
52,2012-12-03,931,-0.32119914,0.32327586,-4.02061856,,,
53,2012-12-10,927,-0.42964554,-1.17270789,-2.11193242,-7.5772682,,
54,2012-12-17,917,-1.07874865,-2.02991453,-1.60944206,-7.83919598,,
55,2012-12-24,916,-0.10905125,-1.61117078,-1.39935414,-7.1935157,,
56,2012-12-31,918,0.21834061,-1.39634801,0.76838639,-6.61241099,,
