,date,open,high,low,close,volume
0,1993-04-30,1355.95,1369.26,1339.58,1358.78,23320300
1,1993-05-03,1368.48,1370.36,1345.18,1348.23,29043900
2,1993-05-04,1354.18,1359.73,1234.17,1236.06,38820900
3,1993-05-05,1235.71,1270.28,1200.69,1244.9,27751800
4,1993-05-06,1246.5,1246.5,1149.56,1159.74,28905900
5,1993-05-07,1204.32,1217.61,1159.24,1208.03,27264700
6,1993-05-10,1224.12,1232.21,1141.31,1157.64,26533500
7,1993-05-11,1149.93,1169.52,1137.06,1167.67,15519600
8,1993-05-12,1169.79,1197.0,1165.66,1172.41,15690400
9,1993-05-13,1173.28,1213.21,1173.28,1213.21,13611400
10,1993-05-14,1215.97,1235.89,1196.53,1203.47,18408700
11,1993-05-17,1200.66,1200.66,1131.77,1180.48,14646800
12,1993-05-18,1180.48,1193.17,1171.88,1174.4,9659900
13,1993-05-19,1175.65,1184.54,1171.62,1183.66,7426000
14,1993-05-20,1182.27,1210.12,1182.27,1199.85,11475200
15,1993-05-21,1200.62,1202.27,1170.62,1185.71,10613500
16,1993-05-24,1184.95,1184.95,1074.88,1075.62,18464000
17,1993-05-25,1077.27,1077.27,1023.14,1052.47,17273300
18,1993-05-26,1050.09,1063.06,1044.38,1049.21,11282700
19,1993-05-27,1050.48,1051.21,991.24,1016.66,11605200
20,1993-05-28,1016.47,1034.79,1013.66,1025.03,12056000
21,1993-05-31,1026.92,1036.19,984.48,990.32,9503700
22,1993-06-01,990.06,990.06,917.64,978.91,10458000
23,1993-06-02,990.21,1117.19,960.26,1117.19,43273200
24,1993-06-03,1125.88,1164.85,992.25,1031.82,43084200
25,1993-06-04,1029.88,1051.25,1000.36,1026.25,16694200
26,1993-06-07,1026.23,1076.96,1010.08,1076.19,13733700
27,1993-06-08,1098.06,1108.22,1066.73,1090.53,48765900
28,1993-06-09,1090.84,1111.53,1082.27,1087.52,30892300
29,1993-06-10,1091.06,1095.74,1071.42,1072.8,17952500
30,1993-06-11,1073.01,1079.2,1053.73,1073.22,15665900
31,1993-06-14,1077.18,1079.18,1028.43,1031.84,22814400
32,1993-06-15,1031.05,1038.32,1019.11,1037.34,11679200
33,1993-06-16,1041.65,1053.83,1036.56,1041.85,8935200
34,1993-06-17,1037.56,1053.77,1036.63,1037.1,7153000
35,1993-06-18,1037.29,1039.08,1028.21,1036.25,7902300
36,1993-06-21,1032.99,1032.99,993.59,1003.04,10101300
37,1993-06-22,995.91,1013.41,995.91,1004.7,4715800
38,1993-06-23,1005.28,1010.05,1000.09,1004.72,4903600
39,1993-06-24,1006.66,1006.66,990.59,995.25,5251000
40,1993-06-25,995.13,1042.37,995.13,1013.68,9638800
41,1993-06-28,1013.65,1025.83,1005.72,1017.76,10042700
42,1993-06-29,1017.55,1046.42,1012.39,1035.81,52948000
43,1993-06-30,1041.18,1051.74,1015.55,1015.95,38054600
