,date,open,close,high,low,amount
0,2011-05-13,2152.45,2170.86,2171.97,2139.65,1486280.0
1,2011-05-16,2173.6,2171.88,2187.23,2169.31,1326017.0
2,2011-05-17,2167.89,2159.31,2174.12,2135.85,1399544.0
3,2011-05-18,2157.43,2166.96,2167.04,2150.37,1197554.0
4,2011-05-19,2172.16,2153.34,2182.53,2148.57,1078941.0
5,2011-05-20,2141.75,2138.69,2149.72,2127.6,1002648.0
6,2011-05-23,2137.76,2072.51,2147.53,2069.87,1503283.0
7,2011-05-24,2057.26,2060.71,2065.09,2016.38,1207450.0
8,2011-05-25,2059.4,2019.38,2063.59,2015.69,1137501.0
9,2011-05-26,2028.47,1985.37,2043.34,1983.98,1138746.0
10,2011-05-27,1986.98,1953.03,1992.51,1949.09,1158529.0
11,2011-05-30,1949.12,1919.68,1958.69,1914.64,953796.0
12,2011-05-31,1928.76,1961.1,1963.46,1920.85,1067335.0
13,2011-06-01,1962.09,1982.62,1987.69,1953.37,981229.0
14,2011-06-02,1955.73,1957.75,1969.16,1925.84,1048237.0
15,2011-06-03,1958.71,1994.9,1996.94,1958.71,941402.0
16,2011-06-07,1990.37,1997.74,2001.26,1983.59,755863.0
17,2011-06-08,1997.97,1996.64,2000.17,1966.05,911519.0
18,2011-06-09,1991.73,1940.16,1992.48,1938.9,996561.0
19,2011-06-10,1937.01,1946.06,1946.4,1909.88,816071.0
20,2011-06-13,1933.94,1949.95,1954.01,1920.69,808205.0
21,2011-06-14,1949.23,1968.8,1975.89,1946.99,1035493.0
22,2011-06-15,1962.7,1942.16,1970.44,1941.22,789315.0
23,2011-06-16,1924.92,1902.9,1928.06,1900.22,902015.0
24,2011-06-17,1902.14,1872.87,1911.13,1865.44,825882.0
25,2011-06-20,1869.33,1819.72,1870.42,1813.22,871030.0
26,2011-06-21,1825.27,1827.66,1834.79,1803.24,965303.0
27,2011-06-22,1830.29,1825.6,1840.14,1814.76,869368.0
28,2011-06-23,1820.17,1875.51,1881.91,1816.63,1344293.0
29,2011-06-24,1867.9,1922.81,1930.11,1865.07,1640579.0
30,2011-06-27,1929.64,1956.66,1971.92,1927.16,1941358.0
31,2011-06-28,1958.58,1955.17,1963.33,1937.59,1401351.0
32,2011-06-29,1955.71,1923.51,1961.52,1923.37,1198093.0
33,2011-06-30,1921.02,1950.36,1955.62,1920.92,1348840.0
34,2011-07-01,1952.79,1972.1,1984.45,1949.16,2396661.0
35,2011-07-04,1983.8,2039.77,2040.32,1983.8,3402869.0
36,2011-07-05,2043.4,2073.1,2079.51,2033.29,3558541.0
37,2011-07-06,2063.86,2074.39,2079.94,2042.59,2579514.0
38,2011-07-07,2068.92,2057.41,2084.96,2053.74,2332813.0
39,2011-07-08,2054.91,2037.56,2059.72,2023.01,2008434.0
40,2011-07-11,2029.44,2044.75,2055.83,2021.03,1773346.0
41,2011-07-12,2026.72,2013.83,2038.43,2012.29,1969311.0
42,2011-07-13,2012.25,2071.64,2071.97,2012.25,2265343.0
43,2011-07-14,2070.93,2085.92,2087.75,2053.74,2273664.0
44,2011-07-15,2080.05,2091.23,2092.64,2065.81,1949456.0
45,2011-07-18,2094.85,2080.24,2102.67,2074.7,1820317.0
46,2011-07-19,2072.55,2068.22,2079.07,2042.58,2900020.0
47,2011-07-20,2079.45,2060.77,2088.9,2039.88,2177871.0
48,2011-07-21,2061.46,2028.82,2063.95,2028.2,1769023.0
49,2011-07-22,2031.95,2029.89,2047.94,2022.15,1378562.0
50,2011-07-25,2024.02,1945.32,2024.02,1939.25,2140136.0
51,2011-07-26,1937.71,1940.99,1950.66,1923.44,1326575.0
52,2011-07-27,1931.26,1972.13,1975.0,1918.99,1550400.0
53,2011-07-28,1951.06,1959.86,1971.91,1941.16,1517759.0
54,2011-07-29,1958.94,1933.81,1967.59,1927.4,1081151.0
55,2011-08-01,1934.77,1962.86,1973.08,1934.77,1142827.0
56,2011-08-02,1963.65,1963.04,1963.65,1932.79,1742652.0
57,2011-08-03,1937.81,1959.24,1965.62,1932.78,1195963.0
58,2011-08-04,1963.49,1966.28,1980.36,1960.12,956766.0
59,2011-08-05,1906.02,1922.82,1936.36,1888.59,1412260.0
60,2011-08-08,1895.45,1814.67,1896.36,1782.03,1988715.0
61,2011-08-09,1752.15,1791.46,1806.92,1717.03,1725388.0
62,2011-08-10,1822.02,1816.67,1841.65,1812.63,1693076.0
63,2011-08-11,1772.15,1831.51,1832.35,1768.71,1511468.0
64,2011-08-12,1846.97,1850.32,1865.98,1845.19,1441422.0
65,2011-08-15,1856.86,1891.2,1891.49,1856.54,1456955.0
66,2011-08-16,1895.92,1861.98,1896.34,1860.62,1237652.0
67,2011-08-17,1861.5,1853.37,1875.2,1845.63,1045461.0
68,2011-08-18,1846.64,1814.19,1851.36,1813.58,1169165.0
69,2011-08-19,1771.45,1786.19,1790.45,1759.89,1175681.0
70,2011-08-22,1786.11,1767.2,1803.32,1761.99,1041312.0
71,2011-08-23,1771.14,1789.12,1789.23,1763.72,919721.0
72,2011-08-24,1808.28,1788.05,1815.14,1784.28,1156523.0
73,2011-08-25,1790.51,1830.51,1830.59,1779.02,1563521.0
74,2011-08-26,1823.74,1825.96,1835.0,1815.15,1370719.0
75,2011-08-29,1816.52,1798.78,1823.23,1798.09,1468778.0
76,2011-08-30,1812.52,1788.03,1828.82,1785.61,1285928.0
77,2011-08-31,1788.85,1778.72,1799.59,1766.92,903047.0
